,Genome ID,Genome Name,Species,Strain,Label,Date Inserted,Host Health,Disease,Isolation Source,Isolation Comments,Other Clinical,Comments,GenBank Accessions,NCBI Taxon ID
11,35703.60,Citrobacter amalonaticus strain FDAARGOS_490 strain Not applicable,Citrobacter amalonaticus,Not applicable,HP,2019-01-31T07:59:30.466Z,Wound Infection,,Abscess,,host_description:Not applicable,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",RKJA01000000,35703
12,52768.3,Actinomyces georgiae strain KHUD_A1,Schaalia georgiae,KHUD_A1,HP,2019-01-31T06:17:03.273Z,,,subgingival plaque,,,Genome sequence of Actinomyces from Korean patients with periodontitis,RSCF01000000,52768
13,2487150.3,Metakosakonia sp. MRY16-398,Metakosakonia sp. MRY16-398,MRY16-398,HP,2019-01-31T05:53:45.797Z,,,"ascites of a patient at May, 2015","isolated from ascites of a patient at May, 2015",,"Metakosakonia sp. MRY16-398 was isolated from ascites of a patient at May, 2015. This strain showed reduced susceptibility to carbapenem. Complete genome sequencing analysis revealed that this strain possesses a IncN plasmid carrying blaIMP-6 carbapenemase gene.","AP018756,AP018757,AP018758",2487150
14,979627.3,Lachnoanaerobaculum orale strain DSM 24553,Lachnoanaerobaculum orale,DSM 24553,NHP,2019-01-30T10:20:54.844Z,healthy young man,,saliva,,,Genome sequencing of Lachnoanaerobaculum orale DSM 24553T,RRCM01000000,979627
15,1463165.169,Klebsiella quasipneumoniae strain KLPN_M97,Klebsiella quasipneumoniae,KLPN_M97,HP,2019-01-30T10:16:13.186Z,bacteremia,,patient fluids,,,Whole genome sequencing of 40 clinical Klebsiella pneumoniae isolates using both Oxford Nanopore Technologies and Illumina sequencing,RDBB01000000,1463165
16,2487907.3,Brucellaceae bacterium VT-16-1752,Brucellaceae bacterium VT-16-1752,VT-16-1752,HP,2019-01-30T10:08:56.250Z,Alzheimer's disease,,saliva,,,Isolated from the saliva of a patient with Alzheimer's disease,RQUW01000000,2487907
17,413503.59,Cronobacter malonaticus strain S3,Cronobacter malonaticus,S3,HP,2019-01-30T09:25:46.877Z,,,rectal swab,,,To clarify the cause of a food-borne outbreak taking place in a local senior high school,PSON01000000,413503
18,106654.144,Acinetobacter nosocomialis strain YMC2003/1/R306,Acinetobacter nosocomialis,YMC2003/1/R306,HP,2019-01-30T06:44:36.551Z,Aspiration pneumonia,,Sputum,,,"BackgroundAcinetobacter sp. has emerged as a significant pathogen causing nosocomial infections. Treatment of these pathogens has become a major challenge to all clinicians worldwide. Huge revenue and technology is also being dedicated towards developing novel drugs and antibiotic combinations to combat resistance. Addressing the above issue, we have constructed a panel of strains of Acinetobacter sp. expressing different resistances such as narrow spectrum β-lactamase and oxacillinase, ESBL, OXA-carbapenemase, MBL and over producing AmpC, and genotypically characterized them to understand their resistance mechanism.MethodsAll the bacterial strains exhibiting different resistance phenotypes were collected according to the diagnostic decision tree based on phenotypic observation mentioned in Courvalin, P., et al. Antibiogram, during the period 2008-2013 from Severance hospital, Seoul. Antimicrobial susceptibility was determined according to the CLSI guidelines using agar dilution method. Selected strains were sequenced using Ion Torrent PGM system, annotated using RAST server and analyzed using Geneious pro 8.0.ResultsGenotypic determinants i.e. acquired resistance genes, mutations and porin alternations contributing to the relevant expressed phenotype was characterized using massive parallel technology. The complete resistance mechanisms for the collected reference strains were determined. Due to the acquisition of multiple resistance genes and transposons, the diagnostic decision tree for evaluating the resistance is not accurate, which alarms the urgent need for modification to this scheme.ConclusionThe complete illustrated mechanism contributing to specific resistance phenotypes can be used as a target for the novel drug development. These strains can be used as a reference strain in the clinical laboratory and also in evaluating the anti-microbial drug efficiency for specific resistance. Similar work can also be performed in other species/genus to understand the mechanism and control the associated infections.",MKHH01000000,106654
19,1134687.75,Klebsiella michiganensis strain KMISG1,Klebsiella michiganensis,KMISG1,HP,2019-01-30T01:25:45.569Z,Sepsis,,blood,,,Clinically interesting case of KPC-producing Klebsiella michiganensis,QVNS01000000,1134687
20,2341086.3,Mycobacterium sp. MK41,Mycobacterium attenuatum,MK41,HP,2018-11-30T04:10:51.403Z,,,Sputum,,host_health_state:diseased,"Among the Mycobacterium kansasii species, seven subtypes have been described based on the PCR and Restriction fragment length polymorphisms of the gene hsp65. In this study, we performed WGS sequencing of swiss strain collection of M. kansasii and did a comparative genomic analysis of with published sequences on the NCBI.",UPHT01000000,2341086
21,2341083.3,Mycobacterium sp. MK13,Mycobacterium innocens,MK13,HP,2018-11-30T04:10:23.521Z,,,Sputum,,host_health_state:diseased,"Among the Mycobacterium kansasii species, seven subtypes have been described based on the PCR and Restriction fragment length polymorphisms of the gene hsp65. In this study, we performed WGS sequencing of swiss strain collection of M. kansasii and did a comparative genomic analysis of with published sequences on the NCBI.",UPHQ01000000,2341083
22,1487726.5,Mycobacterium persicum strain MK15,Mycobacterium persicum,MK15,HP,2018-11-30T04:09:40.423Z,,,Asymptomatic carriage of a patient with Still's disease,,host_health_state:diseased,"Among the Mycobacterium kansasii species, seven subtypes have been described based on the PCR and Restriction fragment length polymorphisms of the gene hsp65. In this study, we performed WGS sequencing of swiss strain collection of M. kansasii and did a comparative genomic analysis of with published sequences on the NCBI.",UPHK01000000,1487726
23,2341080.3,Mycobacterium sp. MK142,Mycobacterium pseudokansasii,MK142,HP,2018-11-30T04:02:34.186Z,,,Blood culture,,host_health_state:diseased,"Among the Mycobacterium kansasii species, seven subtypes have been described based on the PCR and Restriction fragment length polymorphisms of the gene hsp65. In this study, we performed WGS sequencing of swiss strain collection of M. kansasii and did a comparative genomic analysis of with published sequences on the NCBI.",UPHU01000000,2341080
24,204.16,Campylobacter showae strain B32_SW,Campylobacter showae,B32_SW,HP,2018-11-30T04:00:21.708Z,,,Biopsy,,host_health_state:diseased,"In this study the genomes of eight C. showae strains were sequenced, assembled and annotated including four strains from paediatric Crohn’s disease patients, three strains from colonic adenomas and one from a gastroenteritis patient.",UWOL01000000,204
25,263.151,Francisella tularensis strain FDAARGOS_596 strain Not applicable,Francisella tularensis,Not applicable,HP,2018-11-30T02:36:50.904Z,,,clinical isolate,,host_description:Not applicable,"In May 2014, the FDA and collaborators established a publicly available dAtabase for Reference Grade micrObial Sequences called FDA-ARGOS. With funding support from FDA’s Office of Counterterrorism and Emerging Threats (OCET) and DoD, the FDA-ARGOS team are initially collecting and sequencing 2000 microbes that include biothreat microorganisms, common clinical pathogens and closely related species. Currently, FDA-ARGOS microbial genomes are generated in 3 phases. Generally:  Phase 1 entails collection of a previously identified microbe and nucleic acid extraction. Phase 2, the microbial nucleic acids are sequenced and de novo assembled using Illumina and PacBio sequencing platforms at the Institute for Genome Sciences at the University of Maryland (UMD-IGS). Phase 3, the assembled genomes are vetted by an ID-NGS subject matter expert working group consisting of FDA personnel and collaborators and the data are deposited in NCBI databases.   The FDA-ARGOS genomes meet the quality metrics for reference-grade genomes for regulatory use. FDA-ARGOS reference genomes have been de novo assembled with high depth of base coverage and placed within a pre-established phylogenetic tree. Each microbial isolate in the database is covered at a minimum of 20X over 95 percent of the assembled core genome. Furthermore, sample specific metadata, raw reads, assemblies, annotation and details of the bioinformatics pipeline are available.",RKJS01000000,263
26,1914243.6,Citrobacter europaeus strain 67A,Citrobacter europaeus,67A,NHP,2018-11-30T02:24:38.120Z,Colistin-resistant commensal bacteria,,fecal sample,,,mcr-1-positive enteric bacteria among healthy children from rural communities in the Bolivian Chaco,PQSZ01000000,1914243
27,456.14,Legionella jordanis strain NML 060502,Legionella jordanis,NML 060502,HP,2018-11-29T08:14:56.117Z,,,bronchial wash,,,Draft genome of two clinical strains of Legionella jordanis from Canada,RDQQ01000000,456
28,1346.123,Streptococcus iniae strain QMA0137,Streptococcus iniae,QMA0137,HP,2018-11-29T06:36:02.325Z,,,,,,S. iniae is a pathogen of fish and occasionally humans. This project explores how S. iniae has adapted and evolved over 40 years and determines effects of major stresses such as host species jumps and immunisation,QLSA01000000,1346
29,38290.5,Corynebacterium macginleyi strain CCUG 32361 strain not applicable,Corynebacterium macginleyi,not applicable,HP,2018-11-29T05:38:11.281Z,,,corneal ulcer,,,Whole genome sequence of the type strain of Corynebacterium macginleyi CCUG32361 and of two clinical strains from Canada,REGE01000000,38290
30,2315333.3,Helicobacter sp. 48519,Helicobacter labetoulli,48519,HP,2018-11-29T03:08:47.637Z,Helicobacter bacteremia,,blood,,,"The CNRCH (french National Reference Centre for Campylobacter and Helicobacter) sometimes receives clinical samples of Helicobacter species that collaborators failed to identify. In 2018, three suspected new species were sequenced and described.",QXJF01000000,2315333
31,2315334.3,Helicobacter sp. CNRCH 2005/566H,Helicobacter burdigaliensis,CNRCH 2005/566H,HP,2018-11-29T03:06:39.549Z,hepatocellular carcinoma and gastroenteritis,,stool,,,"The CNRCH (french National Reference Centre for Campylobacter and Helicobacter) sometimes receives clinical samples of Helicobacter species that collaborators failed to identify. In 2018, three suspected new species were sequenced and described.",QXJG01000000,2315334
32,615.766,Serratia marcescens strain CHE4,Serratia marcescens,CHE4,HP,2018-11-29T02:47:33.600Z,urinary infection,,urinary infection,,,genetic characterization of SME producing Serratia marcescens,NTFM01000000,615
33,480.301,Moraxella catarrhalis strain COPD_M29,Moraxella catarrhalis,COPD_M29,HP,2018-11-28T20:27:57.440Z,COPD,,sputum,,host_health_state:Exacerbation;host_subject_id:COPDMap id Leic 038,"Purpose: Moraxella catarrhalis is implicated in the pathogenesis of some COPD exacerbations. We sought to investigate whether the M. catarrhalis strain is variable between COPD subjects; that an exacerbation is associated with acquisition of a new strain and that certain strains are more commonly associated with exacerbations.Patients and methods: Sputum samples were collected at stable and exacerbation visits from COPD subjects from a single centre as part of the COPDMAP consortium. Samples identified as M. catarrhalis positive by qPCR were re-cultured in liquid cultures grown to extract genomic DNA; underwent Illumina MiSeq and bacterial genome sequences were de novo assembled and Multi Locus Sequence Type (MLST) was determined.Results: 35 samples were obtained from 18 subjects. These included 13 stable and 22 exacerbation samples. The diversity between samples was very large with 25 different M. catarrhalis MLSTs identified out of the 35 samples of which 12 MSLTs have not been described previously. Change and persistence of M. catarrhalis strain were observed between stable visits, from stable to exacerbation and vice-a-versa, and between exacerbation visits.Conclusion: Sputum M. catarrhalis strains exhibit marked diversity within and between COPD subjects. Acquisition of a new strain is common between stable and between stable and exacerbation events such that no strain is specifically associated with an exacerbation.",QZHT01000000,480
34,1585976.5,Bergeyella cardium strain 1,Bergeyella cardium,1,HP,2018-11-28T20:21:04.607Z,Endocarditis,,blood,,host_description:human;host_disease_outcome:survived,"Bergeyella cardium is a new species in the family Flavobacteriaceae that was recently described in three cases of native valve infective endocarditis. We report the first case of Bergeyella cardium prosthetic valve endocarditis, provide the first draft genome of this species, and review the microbiologic characteristics of this emerging pathogen.",QYCZ01000000,1585976
35,2292883.3,Clostridiales bacterium AF36-10,Clostridiales bacterium AF36-10,AF36-10,NHP,2018-11-28T18:57:24.210Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QTLT01000000,2292883
36,2292909.3,Acidaminococcus sp. AM33-14BH,Acidaminococcus sp. AM33-14BH,AM33-14BH,NHP,2018-11-28T18:49:31.573Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QTNG01000000,2292909
37,573.21602,Klebsiella pneumoniae strain EuSCAPE_IT030,Klebsiella pneumoniae,EuSCAPE_IT030,HP,2018-10-05T11:21:35.462Z,,,Urine,,host_health_state:Infection,"Carbapenemase-producing enterobacteriaceae (CPE) represent one of the most serious emerging infectious disease threats we currently face. Infections caused by these bacteria are difficult to treat as they are resistant to carbapenems, which are considered ‘last resort’ antibiotics. Solid knowledge of distribution and the extent of presence/absence of resistant organisms on a continental scale has been lacking. Funded by the ECDC, between February and March 2013, national experts from the 28 European Union Member States, Iceland, Norway, the seven EU enlargement countries and Israel were invited to complete a survey to gather information about the spread of CPE, on public health responses and on available national guidance on detection, surveillance, prevention and control. The survey also investigated the laboratory capacity for diagnosis and surveillance at the national level. Following this survey, a collaborative effort (EuSCAPE) was initiated where all reference laboratory heads identified a number of representative hospitals within each country and over a six-month period the first 5 carbapenemase producing, and first 5 non-carbapenemase producing enterobacteriaceae were collected along with associated metadata (eg resistance phenotypes, mechanism of resistance, age of patient, outcome etc.). The results of this survey will be published shortly. Agreement to store and WGS isolates from this network has been agreed with all national reference laboratories. This project will allow the establishment of a solid baseline population structure of major and minor clones of CPE within the European Region. Data will be provided through cGPS within a web application (www.wgsa.net) allowing the interrogation of metadata in a genomic context and forming a solid resource for the public health community. Comparisons of mobile elements, particularly plasmid exchange in the context of local and international clonal structuring will allow an understanding of the base level population structure alon",UKMO01000000,573
38,2026240.7,Klebsiella quasivariicola strain EuSCAPE_EE019,Klebsiella quasivariicola,EuSCAPE_EE019,HP,2018-10-05T07:06:07.236Z,,,Urine,,host_health_state:Infection,"Carbapenemase-producing enterobacteriaceae (CPE) represent one of the most serious emerging infectious disease threats we currently face. Infections caused by these bacteria are difficult to treat as they are resistant to carbapenems, which are considered ‘last resort’ antibiotics. Solid knowledge of distribution and the extent of presence/absence of resistant organisms on a continental scale has been lacking. Funded by the ECDC, between February and March 2013, national experts from the 28 European Union Member States, Iceland, Norway, the seven EU enlargement countries and Israel were invited to complete a survey to gather information about the spread of CPE, on public health responses and on available national guidance on detection, surveillance, prevention and control. The survey also investigated the laboratory capacity for diagnosis and surveillance at the national level. Following this survey, a collaborative effort (EuSCAPE) was initiated where all reference laboratory heads identified a number of representative hospitals within each country and over a six-month period the first 5 carbapenemase producing, and first 5 non-carbapenemase producing enterobacteriaceae were collected along with associated metadata (eg resistance phenotypes, mechanism of resistance, age of patient, outcome etc.). The results of this survey will be published shortly. Agreement to store and WGS isolates from this network has been agreed with all national reference laboratories. This project will allow the establishment of a solid baseline population structure of major and minor clones of CPE within the European Region. Data will be provided through cGPS within a web application (www.wgsa.net) allowing the interrogation of metadata in a genomic context and forming a solid resource for the public health community. Comparisons of mobile elements, particularly plasmid exchange in the context of local and international clonal structuring will allow an understanding of the base level population structure alon",UJYW01000000,2026240
39,1653434.5,Sellimonas intestinalis strain AF37-1,Sellimonas intestinalis,AF37-1,NHP,2018-10-04T14:18:28.705Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QVLY01000000,1653434
40,1323.4,Faecalicoccus pleomorphus strain TF08-11,Faecalicoccus pleomorphus,TF08-11,NHP,2018-10-04T14:17:50.552Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUSK01000000,1323
41,214853.3,Anaerofustis stercorihominis strain AM25-6,Anaerofustis stercorihominis,AM25-6,NHP,2018-10-04T14:17:47.660Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUSM01000000,214853
42,2259147.4,Legionella sp. 13.8642 strain 13.8295,Legionella sp. 13.8642,13.8295,HP,2018-10-04T10:29:22.797Z,,,Human,recovered from an environmental and a clinical sample in two distant geographical locations belong to a new species for which Legionella harrisonii sp,host_health_state:diseased,Two strains recovered from an environmental and a clinical sample in two distant geographical locations belong to a new species for which Legionella harrisonii sp. nov. is proposed. The environmental strain (13.8642) was isolated from a compost sample in the spring of 2012 in Scotland and the clinical isolate (13.8295) was recovered one year later from a patient in New Zealand.,UFAM01000000,2259147
43,676.75,Vibrio fluvialis strain NCTC11327,Vibrio fluvialis,NCTC11327,HP,2018-10-04T08:17:55.484Z,,,Diarrhoea,,host_health_state:disease: diarrhoea,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,UHIP01000000,676
44,148942.548,Streptococcus equi subsp. equi strain NCTC12092,Streptococcus equi,NCTC12092,HP,2018-10-04T07:44:20.561Z,,,Knee Aspirate,,host_health_state:disease,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,UHFF01000000,148942
45,258.4,Sphingobacterium spiritivorum strain NCTC11388,Sphingobacterium spiritivorum,NCTC11388,HP,2018-10-04T06:50:21.531Z,,,Blood,,host_health_state:disease,http://www.sanger.ac.uk/resources/downloads/bacteria/nctc/,UGYW01000000,258
46,195.1504,Campylobacter coli strain F4,Campylobacter coli,F4,HP,2018-10-03T21:08:02.723Z,Diarrhea,,feces,,,Campylobacter coli Genome sequencing and assembly,QYUS01000000,195
47,584.635,Proteus mirabilis strain PMWJ,Proteus mirabilis,PMWJ,HP,2018-10-03T18:42:43.668Z,intracranial infection,,cerebrospinal fluid sample,,,Proteus mirabilis PMWJ Genome sequencing and assembly,QXIN01000000,584
48,622.461,Shigella dysenteriae strain DMB SH128,Shigella dysenteriae,DMB SH128,HP,2018-10-03T15:11:20.620Z,Shigellosis,,feces,,,Whole genome sequencing of cultured Shigella as part of FDA/CFSAN's surveillance project for rapid source tracking of foodborne illness outbreaks.,QWSC01000000,622
49,621.246,Shigella boydii strain DMB SH132,Shigella boydii,DMB SH132,HP,2018-10-03T14:58:58.249Z,Shigellosis,,feces,,,Whole genome sequencing of cultured Shigella as part of FDA/CFSAN's surveillance project for rapid source tracking of foodborne illness outbreaks.,QWSG01000000,621
50,487316.29,Acinetobacter soli strain OCU_Ac8,Acinetobacter soli,OCU_Ac8,HP,2018-10-03T13:59:10.897Z,,,blood culture of a hospitalized patient,isolated at Osaka City University Hospital,,The aim of this project is to study the genetic characteristics of Acinetobacter spp. isolated at Osaka City University Hospital. Our goal is to reveal the mechanism of how Acinetobacter spp. acquire resistance to various antimicrobials.,BHGE01000000,487316
51,2292276.3,Clostridiaceae bacterium OF09-1,Clostridiaceae bacterium OF09-1,OF09-1,NHP,2018-10-02T18:02:00.927Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUMI01000000,2292276
52,2292299.3,Butyricicoccus sp. OF13-6,Butyricicoccus sp. OF13-6,OF13-6,NHP,2018-10-02T17:56:32.920Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QULY01000000,2292299
53,2293100.3,Dorea sp. OM07-5,Dorea sp. OM07-5,OM07-5,NHP,2018-10-02T17:49:56.124Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUKZ01000000,2293100
54,1891238.8,Burkholderiales bacterium strain TF07-50,Burkholderiales bacterium,TF07-50,NHP,2018-10-02T17:46:54.533Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUKP01000000,1891238
55,2293102.3,Erysipelatoclostridium sp. AM42-17,Erysipelatoclostridium sp. AM42-17,AM42-17,NHP,2018-10-02T17:31:20.696Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUIN01000000,2293102
56,2292976.3,Blautia sp. AM42-2,Blautia sp. AM42-2,AM42-2,NHP,2018-10-02T17:30:42.797Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUIM01000000,2292976
57,2293248.3,Tannerella sp. AF04-6,Tannerella sp. AF04-6,AF04-6,NHP,2018-10-02T17:28:05.888Z,,,feces,,,"Reference genomes of the gut microbiota are essential for metagenomic analysis, functional characterization, and pan-genome analysis. A culturable genome reference (CGR) was built to improve mapping rates for metagenomic analysis, as well as enable functional characterization and pan-genome analysis to human gut microbiota.",QUHW01000000,2293248
